state,county,cofips,race,sex,renters,variance
AL,AUTAUGA,01001,asian,female,32.7868852459016,328.457835604097
AL,AUTAUGA,01001,asian,male,83.4972677595629,2073.7612305161
AL,AUTAUGA,01001,black,female,1607.87860596965,26103.3936387302
AL,AUTAUGA,01001,black,male,1126.14707353677,12897.7517709575
AL,AUTAUGA,01001,hisp,female,78.8237476808905,1182.5070210358
AL,AUTAUGA,01001,hisp,male,118.595547309833,2666.09532457393
AL,AUTAUGA,01001,other,female,72.5665859564165,2184.73610405265
AL,AUTAUGA,01001,other,male,43.5835351089588,791.873714906135
AL,AUTAUGA,01001,white,female,3481.35210134728,54538.1049507718
AL,AUTAUGA,01001,white,male,2718.37180776191,33472.8641930935
AL,BALDWIN,01003,asian,female,33,32.9728861667165
AL,BALDWIN,01003,asian,male,35,34.9695000497958
AL,BALDWIN,01003,black,female,3246,2983.6626829997
AL,BALDWIN,01003,black,male,2480,2326.86784184842
AL,BALDWIN,01003,hisp,female,1045,1017.8108505129
AL,BALDWIN,01003,hisp,male,1276,1235.46180659297
AL,BALDWIN,01003,other,female,214,212.859774922816
AL,BALDWIN,01003,other,male,486,480.119211233941
AL,BALDWIN,01003,white,female,17100,9819.59964146997
AL,BALDWIN,01003,white,male,14249,9193.87598346778
AL,BARBOUR,01005,asian,female,19.7383177570093,998.309905953897
AL,BARBOUR,01005,asian,male,9.70093457943925,241.418292536426
AL,BARBOUR,01005,black,female,1968.6371204313,13912.0887257058
AL,BARBOUR,01005,black,male,1510.87766590026,8254.05295158775
AL,BARBOUR,01005,hisp,female,151.475409836066,1432.72164105708
AL,BARBOUR,01005,hisp,male,201.005464480874,2507.05785516567
AL,BARBOUR,01005,other,female,113.239436619718,545.961264072771
AL,BARBOUR,01005,other,male,128.112676056338,693.108451888763
AL,BARBOUR,01005,white,female,859.755711078833,5728.2035702974
AL,BARBOUR,01005,white,male,865.527532021656,5804.65877167663
AL,BIBB,01007,asian,female,0,1969.63265306122
AL,BIBB,01007,asian,male,0,0
AL,BIBB,01007,black,female,503.097003555104,6700.49638348157
AL,BIBB,01007,black,male,350.832402234637,3263.05347504518
AL,BIBB,01007,hisp,female,69.5454545454546,275.981751241084
AL,BIBB,01007,hisp,male,60.2727272727273,209.954352973383
AL,BIBB,01007,other,female,2.35971223021583,56.8395069440437
AL,BIBB,01007,other,male,7.76978417266187,615.215095365729
AL,BIBB,01007,white,female,1451.81065989848,19841.3303236345
AL,BIBB,01007,white,male,1120.91852791878,11915.2635521422
AL,BLOUNT,01009,asian,female,1.2948717948718,2199.02238271115
AL,BLOUNT,01009,asian,male,1.07692307692308,1521.05927247567
AL,BLOUNT,01009,black,female,96.5555555555556,1467.99881348951
