,state,county,cofips,race,sex,renters,variance
0,AL,AUTAUGA,1001,asian,female,32.7868852459016,328.457835604097
1,AL,AUTAUGA,1001,asian,male,83.4972677595629,2073.7612305161
2,AL,AUTAUGA,1001,black,female,1607.87860596965,26103.3936387302
3,AL,AUTAUGA,1001,black,male,1126.14707353677,12897.7517709575
4,AL,AUTAUGA,1001,hisp,female,78.8237476808905,1182.5070210358
5,AL,AUTAUGA,1001,hisp,male,118.595547309833,2666.09532457393
6,AL,AUTAUGA,1001,other,female,72.5665859564165,2184.73610405265
7,AL,AUTAUGA,1001,other,male,43.5835351089588,791.873714906135
8,AL,AUTAUGA,1001,white,female,3481.35210134728,54538.1049507718
9,AL,AUTAUGA,1001,white,male,2718.37180776191,33472.8641930935
10,AL,BALDWIN,1003,asian,female,33.0,32.9728861667165
11,AL,BALDWIN,1003,asian,male,35.0,34.9695000497958
12,AL,BALDWIN,1003,black,female,3246.0,2983.6626829997
13,AL,BALDWIN,1003,black,male,2480.0,2326.86784184842
14,AL,BALDWIN,1003,hisp,female,1045.0,1017.8108505129
15,AL,BALDWIN,1003,hisp,male,1276.0,1235.46180659297
16,AL,BALDWIN,1003,other,female,214.0,212.859774922816
17,AL,BALDWIN,1003,other,male,486.0,480.119211233941
18,AL,BALDWIN,1003,white,female,17100.0,9819.59964146997
19,AL,BALDWIN,1003,white,male,14249.0,9193.87598346778
20,AL,BARBOUR,1005,asian,female,19.7383177570093,998.309905953897
21,AL,BARBOUR,1005,asian,male,9.70093457943925,241.418292536426
22,AL,BARBOUR,1005,black,female,1968.6371204313,13912.0887257058
23,AL,BARBOUR,1005,black,male,1510.87766590026,8254.05295158775
24,AL,BARBOUR,1005,hisp,female,151.475409836066,1432.72164105708
25,AL,BARBOUR,1005,hisp,male,201.005464480874,2507.05785516567
26,AL,BARBOUR,1005,other,female,113.239436619718,545.961264072771
27,AL,BARBOUR,1005,other,male,128.112676056338,693.108451888763
28,AL,BARBOUR,1005,white,female,859.755711078833,5728.2035702974
29,AL,BARBOUR,1005,white,male,865.527532021656,5804.65877167663
30,AL,BIBB,1007,asian,female,0.0,1969.63265306122
31,AL,BIBB,1007,asian,male,0.0,0.0
32,AL,BIBB,1007,black,female,503.097003555104,6700.49638348157
33,AL,BIBB,1007,black,male,350.832402234637,3263.05347504518
34,AL,BIBB,1007,hisp,female,69.5454545454546,275.981751241084
35,AL,BIBB,1007,hisp,male,60.2727272727273,209.954352973383
36,AL,BIBB,1007,other,female,2.35971223021583,56.8395069440437
37,AL,BIBB,1007,other,male,7.76978417266187,615.215095365729
38,AL,BIBB,1007,white,female,1451.81065989848,19841.3303236345
39,AL,BIBB,1007,white,male,1120.91852791878,11915.2635521422
40,AL,BLOUNT,1009,asian,female,1.2948717948718,2199.02238271115
41,AL,BLOUNT,1009,asian,male,1.07692307692308,1521.05927247567
42,AL,BLOUNT,1009,black,female,96.5555555555556,1467.99881348951
43,AL,BLOUNT,1009,black,male,90.7559523809524,1297.79900941062
44,AL,BLOUNT,1009,hisp,female,420.906200317965,2095.15184962044
45,AL,BLOUNT,1009,hisp,male,379.769475357711,1727.75870206533
46,AL,BLOUNT,1009,other,female,61.8833746898263,378.641683043065
47,AL,BLOUNT,1009,other,male,74.0322580645161,536.386250398377
48,AL,BLOUNT,1009,white,female,3543.47581218876,29668.5341528923
49,AL,BLOUNT,1009,white,male,3172.91913682713,23934.3948416245
50,AL,BULLOCK,1011,asian,female,0.0,442.591221766294
51,AL,BULLOCK,1011,asian,male,0.0,106.907869610694
52,AL,BULLOCK,1011,black,female,801.253706493301,12301.1656937487
53,AL,BULLOCK,1011,black,male,614.941330373424,7255.46053754282
54,AL,BULLOCK,1011,hisp,female,0.0,136.319026182134
55,AL,BULLOCK,1011,hisp,male,0.0,240.042383780773
56,AL,BULLOCK,1011,other,female,0.0,192.048860892222
57,AL,BULLOCK,1011,other,male,0.0,245.810562953171
58,AL,BULLOCK,1011,white,female,78.5798230555922,1608.23140175166
59,AL,BULLOCK,1011,white,male,79.1073550772481,1629.89108743817
60,AL,BUTLER,1013,asian,female,53.2735426008969,496.839000507977
61,AL,BUTLER,1013,asian,male,77.8116591928251,1048.36962278049
62,AL,BUTLER,1013,black,female,1229.16553595658,8355.73026892199
63,AL,BUTLER,1013,black,male,933.48710990502,4881.71979754199
64,AL,BUTLER,1013,hisp,female,24.140625,863.168167849685
65,AL,BUTLER,1013,hisp,male,39.09375,2262.53461282181
66,AL,BUTLER,1013,other,female,42.1331360946746,1058.91936259199
67,AL,BUTLER,1013,other,male,13.3491124260355,107.564900168391
68,AL,BUTLER,1013,white,female,861.075,6822.45562971589
69,AL,BUTLER,1013,white,male,787.316129032258,5710.72102589799
70,AL,CALHOUN,1015,asian,male,120.0,119.406674907293
